01-01-2025,income,5500,salary,Monthly Salary
02-01-2025,expense,30,food,Grocery Shopping
03-01-2025,expense,40,transportation,Uber Ride
04-01-2025,income,500,freelance,Website Design Project
05-01-2025,income,250,entertainment,Movie Tickets
06-01-2025,expense,1000,shopping,New Clothes
07-01-2025,expense,5500,food,Restaurant Dinner
08-01-2025,income,30,utilities,Electricity Bill
09-01-2025,income,40,transportation,Bus Pass
10-01-2025,expense,500,investment,Dividend Payment
11-01-2025,expense,250,healthcare,Doctor Visit
12-01-2025,income,1000,food,Weekly Groceries
13-01-2025,income,5500,entertainment,Netflix Subscription
14-01-2025,expense,30,transportation,Gas Station
15-01-2025,expense,40,shopping,Online Purchase
16-01-2025,income,500,food,Coffee Shop
17-01-2025,income,250,salary,Monthly Salary
18-01-2025,expense,1000,food,Grocery Shopping
19-01-2025,expense,5500,transportation,Uber Ride
20-01-2025,income,30,freelance,Website Design Project
21-01-2025,income,40,entertainment,Movie Tickets
22-01-2025,expense,500,shopping,New Clothes
23-01-2025,expense,250,food,Restaurant Dinner
24-01-2025,income,1000,utilities,Electricity Bill
25-01-2025,income,5500,transportation,Bus Pass
26-01-2025,expense,30,investment,Dividend Payment
27-01-2025,expense,40,healthcare,Doctor Visit
28-01-2025,income,500,food,Weekly Groceries
29-01-2025,income,250,entertainment,Netflix Subscription
30-01-2025,expense,1000,transportation,Gas Station
31-01-2025,expense,1009,shopping,Online Purchase
01-02-2025,income,1224,food,Coffee Shop
02-02-2025,income,1439,salary,Monthly Salary
03-02-2025,expense,1654,food,Grocery Shopping
04-02-2025,expense,1869,transportation,Uber Ride
05-02-2025,income,2084,freelance,Website Design Project
06-02-2025,income,2299,entertainment,Movie Tickets
07-02-2025,expense,2514,shopping,New Clothes
08-02-2025,expense,2729,food,Restaurant Dinner
09-02-2025,income,2944,utilities,Electricity Bill
10-02-2025,income,3159,transportation,Bus Pass
11-02-2025,expense,3374,investment,Dividend Payment
12-02-2025,expense,3589,healthcare,Doctor Visit
13-02-2025,income,3804,food,Weekly Groceries
14-02-2025,income,4019,entertainment,Netflix Subscription
15-02-2025,expense,4234,transportation,Gas Station
16-02-2025,expense,4449,shopping,Online Purchase
17-02-2025,income,4664,food,Coffee Shop
18-02-2025,income,4879,salary,Monthly Salary
19-02-2025,expense,5094,food,Grocery Shopping
20-02-2025,expense,5309,transportation,Uber Ride
21-02-2025,income,5524,freelance,Website Design Project
22-02-2025,income,5739,entertainment,Movie Tickets
23-02-2025,expense,5954,shopping,New Clothes
24-02-2025,expense,6169,food,Restaurant Dinner
25-02-2025,income,6384,utilities,Electricity Bill
26-02-2025,income,6599,transportation,Bus Pass
27-02-2025,expense,6814,investment,Dividend Payment
28-02-2025,expense,7029,healthcare,Doctor Visit
01-03-2025,income,7244,food,Weekly Groceries
02-03-2025,income,7459,entertainment,Netflix Subscription
03-03-2025,expense,7674,transportation,Gas Station
04-03-2025,expense,7889,shopping,Online Purchase
