
01-02-2025,income,1224.0,food,Coffee Shop
02-02-2025,income,1439.0,salary,Monthly Salary
03-02-2025,expense,1654.0,food,Grocery Shopping
04-02-2025,expense,1869.0,transportation,Uber Ride
05-02-2025,income,2084.0,freelance,Website Design Project
06-02-2025,income,2299.0,entertainment,Movie Tickets
07-02-2025,expense,2514.0,shopping,New Clothes
08-02-2025,expense,2729.0,food,Restaurant Dinner
09-02-2025,income,2944.0,utilities,Electricity Bill
10-02-2025,income,3159.0,transportation,Bus Pass
11-02-2025,expense,3374.0,investment,Dividend Payment
12-02-2025,expense,3589.0,healthcare,Doctor Visit
13-02-2025,income,3804.0,food,Weekly Groceries
14-02-2025,income,4019.0,entertainment,Netflix Subscription
15-02-2025,expense,4234.0,transportation,Gas Station
16-02-2025,expense,4449.0,shopping,Online Purchase
17-02-2025,income,4664.0,food,Coffee Shop
18-02-2025,income,4879.0,salary,Monthly Salary
19-02-2025,expense,5094.0,food,Grocery Shopping
20-02-2025,expense,5309.0,transportation,Uber Ride
21-02-2025,income,5524.0,freelance,Website Design Project
22-02-2025,income,5739.0,entertainment,Movie Tickets
23-02-2025,expense,5954.0,shopping,New Clothes
24-02-2025,expense,6169.0,food,Restaurant Dinner
25-02-2025,income,6384.0,utilities,Electricity Bill
26-02-2025,income,6599.0,transportation,Bus Pass
27-02-2025,expense,6814.0,investment,Dividend Payment
28-02-2025,expense,7029.0,healthcare,Doctor Visit
